序号,专辑名,歌手,价格CN,重量,体积,盘数,是否为单盘,专辑数,是否支持竹蜻蜓echo,非CD金额CN,非CD税费CN
1,Memories,VA,14,150,1600,1,Y,1,Y,0,0
2,好喜欢你,鹿乃,363,120,396,1,Y,1,Y,0,0
3,神曲を歌ってみた3,VA,14,132,560,1,Y,1,Y,0,0
4,千年之恋,JG,137,85,288,1,Y,1,Y,0,0
5,Birthday Live 立牌,鹿乃,249,90,437,0,Y,0,N,249,49.8
8,鹿乃吧唧x4,鹿乃,202,50,988,0,Y,0,N,202,40.4
11,solfabest Finale,鹿乃,112,203,1176,2,Y,2,Y,0,0
14,種田いのり帝国,鹿乃,59,163,880,1,Y,1,Y,0,0
17,小卡片DayByDay未闻花名,VA,74,510,2880,2,Y,2,N,15,3
18,小卡片x2,鹿乃,19,30,168,0,Y,0,N,19,3.8
19,Helius,鹿乃,31,120,713,1,Y,1,Y,0,0
20,汽水之海,鹿乃,1189,268,3024,1,Y,1,Y,0,0
21,556mm,鹿乃,94,150,720,1,Y,1,Y,0,0
22,SymphonicBranch,鹿乃,51,120,520,1,Y,1,Y,0,0
23,Stellarium通常 神曲3,鹿乃,73,242,1176,2,Y,2,Y,0,0
26,rye stellarium初回 立牌,鹿乃,484,468,2856,4,N,2,N,122,24.4
27,style,鹿乃,29,167,399,1,Y,1,Y,0,0
28,メリー,鹿乃,318,263,6480,1,Y,1,Y,0,0
30,プチリズムさん！,鹿乃,134,110,368,1,Y,1,Y,0,0
32,BEST,鹿乃,157,163,540,1,Y,1,Y,0,0
35,one,鹿乃,933,213,2808,1,Y,1,Y,0,0
